"","SG 50%","SG 2.5%","SG 97.5%","Coral 50%","Coral 2.5%","Coral 97.5%"
"Soft-bodied",0.482,0.353,0.634,0.316,0.193,0.556
"Alpheid/worm",0.038,0.002,0.179,0.028,0.001,0.302
"Brittle star",0.021,0.001,0.14,0.013,0,0.102
"Fish",0.396,0.269,0.547,0.242,0.153,0.354
"Hard-shelled",0.518,0.366,0.647,0.684,0.444,0.807
"Clam",0.423,0.245,0.586,0.628,0.285,0.785
"Crab",0.034,0.001,0.173,0.018,0,0.196
"Snail",0.031,0.001,0.164,0.016,0,0.145
