d13C,d15N
-8.62,7.05
-9.12,6.79
-9.31,7.34
-10.17,6.83
-9.36,6.36
-9.8,7.39
-8.95,6.6
-9.62,7.35
-9.33,7.41
-10.21,7.15
-10.26,7.58
-10.14,7.48
-9.79,7.03
-11.38,6.81
-9.88,7.71
-10.9,8
-9.8,7.39
-8.95,6.6
