d13C,d15N
-7.38,6.12
-8.8,7.98
-9.44,6.03
-12.49,7.89
-9.93,8.01
-12.74,7.8
-12.29,8.7
-12.1,7.49
-12.08,8.04
-11.71,7.9
-11.67,8.99
-11.76,7.15
-13.15,8.18
